player_id,player_name,player_name_norm,team,season,date_of_injury,injury_type,required_surgery,games_missed,notes
,(James) Mike Scott,(james) mike scott,Hawks,2012-13,2013-03-01,other,0,2,placed on IL
,(James) Mike Scott,(james) mike scott,Hawks,2014-15,2014-11-12,back,0,1,placed on IL with back injury
,(James) Mike Scott,(james) mike scott,Hawks,2014-15,2014-12-10,illness,0,1,placed on IL with flu
,(James) Mike Scott,(james) mike scott,Hawks,2014-15,2015-03-13,foot,0,9,placed on IL with fractured left big toe
,(James) Mike Scott,(james) mike scott,Hawks,2014-15,2015-04-15,back,0,2,placed on IL with back injury
,(James) Mike Scott,(james) mike scott,Hawks,2015-16,2015-12-10,knee,0,2,placed on IL with sore knee
,(James) Mike Scott,(james) mike scott,Hawks,2016-17,2016-10-27,knee,0,14,placed on IL with left knee injury (DTD)
,(James) Mike Scott,(james) mike scott,Hawks,2016-17,2016-12-13,other,0,2,placed on IL
,(James) Mike Scott,(james) mike scott,Wizards,2017-18,2018-03-21,illness,0,1,placed on IL with flu
,(James) Mike Scott,(james) mike scott,76ers,2018-19,2019-04-09,back,0,0,placed on IL with tightness in lower back
,(James) Mike Scott,(james) mike scott,76ers,2018-19,2019-04-27,foot,0,2,placed on IL with right foot injury
,(James) Mike Scott,(james) mike scott,76ers,2020-21,2020-08-01,knee,0,2,placed on IL with sore right knee
,(James) Mike Scott,(james) mike scott,76ers,2020-21,2021-01-02,knee,0,3,placed on IL with bruised left knee
,(James) Mike Scott,(james) mike scott,76ers,2020-21,2021-01-20,knee,0,4,placed on IL with right knee injury
,(James) Mike Scott,(james) mike scott,76ers,2020-21,2021-02-04,knee,0,4,placed on IL with right knee injury
,(James) Mike Scott,(james) mike scott,76ers,2020-21,2021-04-26,hip,0,1,placed on IL with sore left hip
,(William) Tony Parker,(william) tony parker,Spurs,2001-02,2002-01-15,ankle,0,4,placed on IL with sprained right ankle
,(William) Tony Parker,(william) tony parker,Spurs,2005-06,2006-03-28,other,0,1,placed on IL with sore right shin
,(William) Tony Parker,(william) tony parker,Spurs,2005-06,2006-04-19,rest,0,106,placed on IL for rest
,(William) Tony Parker,(william) tony parker,Spurs,2006-07,2007-01-07,hip,0,1,placed on IL with strained right hip
,(William) Tony Parker,(william) tony parker,Spurs,2006-07,2007-03-03,hip,0,1,placed on IL with strained left hip flexor
,(William) Tony Parker,(william) tony parker,Spurs,2006-07,2007-04-16,rest,0,98,placed on IL for rest
,(William) Tony Parker,(william) tony parker,Spurs,2007-08,2007-12-15,ankle,0,1,placed on IL with sprained left ankle / right ankle
,(William) Tony Parker,(william) tony parker,Spurs,2007-08,2008-01-29,other,0,122,placed on IL with bone spur in left heel
,(William) Tony Parker,(william) tony parker,Spurs,2008-09,2008-11-11,ankle,0,7,placed on IL with sprained left ankle
,(William) Tony Parker,(william) tony parker,Spurs,2009-10,2009-11-09,ankle,0,2,placed on IL with sprained left ankle
,(William) Tony Parker,(william) tony parker,Spurs,2009-10,2009-11-18,ankle,0,1,placed on IL with sprained left ankle
,(William) Tony Parker,(william) tony parker,Spurs,2009-10,2010-01-29,ankle,0,2,placed on IL with sprained left ankle
,(William) Tony Parker,(william) tony parker,Spurs,2009-10,2010-02-11,hip,0,2,placed on IL with strained left hip flexor
,(William) Tony Parker,(william) tony parker,Spurs,2009-10,2010-02-21,hip,0,1,placed on IL with left hip injury
,(William) Tony Parker,(william) tony parker,Spurs,2009-10,2010-02-26,other,0,1,placed on IL with stomach ailment
